Site,Date,ET_pure_ICOS,ET_LST_Landsat,ET_Groupe_ERA5
Lamasquere,2023-07-07,0.2438847692327372,0.0,0.6993590268660899
Lamasquere,2023-07-08,0.5025610813370195,0.0,0.6506945034273218
Lamasquere,2023-07-16,0.4288658386443691,0.0,0.39923438216116275
Lamasquere,2023-07-23,0.4030431013288444,0.0,0.6561588340478893
Lamasquere,2023-07-31,0.358083809726953,0.0,0.5214684314959572
Lamasquere,2023-08-08,0.3318869795366095,0.0,0.4638551007829136
Lamasquere,2023-08-09,0.2724969339509692,0.0,0.4894907281587326
Lamasquere,2023-09-01,0.0771352880473693,0.0,0.23469005781650623
Lamasquere,2023-09-09,0.0,0.0,0.14402899399805588
Lamasquere,2023-09-10,0.0857838513202221,0.0,0.12206065974359684
Lamasquere,2023-09-18,0.2646290395406248,0.0,0.30154170645624023
Lamasquere,2023-09-25,0.0860364539882916,0.0,0.11585849106440849
Lamasquere,2023-09-26,0.1184054844960041,0.0,0.15353894980783528
Lamasquere,2023-10-04,0.0461671603325183,0.0,0.0
Lamasquere,2023-10-11,0.0692189756012222,0.0,0.15785683948457152
Lamasquere,2023-10-12,0.0867986426800831,0.0,0.17581509309244922
Lamasquere,2023-11-13,0.2500794112542915,0.0,0.2534107971356581
Lamasquere,2023-12-30,0.1796526220364506,0.0,0.04815732187265978
